id,name,topicId
2131,Blood: General Description & RBC,710
1163,Protozoa,623
1196,Microbes as Biofertilizer,720
1229,Classification of Nutrients,631
1758,Bioreactors/Downstream Processing,639
1231,Means of Transport: Active,630
1330,Female External Genitalia,716
1329,Female Reproductive System-2,716
1328,Female Reproductive System-1,716
3440,SOIL AS RESERVOIR OF ESSENTIAL ELEMENTS,631
1295,Mammary Gland & Lactation,716
1262,Plant Water Relations: Plasmolysis,630
1232,Plant Water Relations: Water Potential: DPD,630
1102,Additional Theories of Darwin,718
1082,Gene Regulation: Lac Operon,637
1264,Means of Transport: Passive,630
2122,Autonomic Nervous System (OLD NCERT),713
4329,Introduction,6390
3308, A BRIEF ACCOUNT OF EVOLUTION,718
2912,Scalars & Vectors,676
1237,Transpiration Pull: Illustration,630
763,Lymph,710
1030,Basic Terminology,705
3011,Nucleus,703
464,Diffraction ,700
737,Absorption: Part 2,708
1040,Conservation of Mechanical Energy,680
1047,Aromatic Conversion,7465
2714,Shear and bulk modulus,684
1757,Polymerase Chain Reaction: PCR,639
1263,Pigments,632
7,Differentiation of Organic Compound,7465
1055,Formal Charge and Coordinate Bond,648
1057,Pteridophytes,624
1053,Oxyacids of Phosphorus/Nitrogen,665
1062,The DNA,637
1063,DNA Double Helix,637
3,"Differentiation of 1st, 2nd & 3rd Degree Alcohol",7465
1066,DNA vs RNA as Genetic Material,637
2,Iodoform Reaction,7465
5,Alcohols & Phenols,7465
6,Acid & Phenol,7465
1070,DNA Packaging,637
11,Conversion Chart (n to n+1),7465
30,Hunds Rule,646
37,Schrodinger Wave Equation,646
42,Rutherford's Experiment,646
79,Types of System,650
1059,Adrenal Cortex: Aldosterone,714
2747,Tension & Normal Reaction,679
1079,Translation,637
1080,Translation Mechanism,637
2717,Longitudinal stress,684
2846,Linear SHM,689
1083,Gene Regulation in Eukaryotes,637
1084,Human Genome Project,637
1085,DNA Fingerprinting,637
1086,Definition & Types of Evolution,718
1087,Cosmic Evolution,718
1058,Heating Effects  of Current,693
1049,Lyophilic & Lyophobic Sol,663
1090,Examples of Chemical Evolution,718
1091,Urey & Miller Experiment,718
1092,Other Theories of Origin of Life,718
83,Enthalpy &  Internal energy,650
1048,Catalyst,663
1096,Embryological Evidence of Evolution,718
1097,Palentological Evidences of Evolution,718
1098,Theory of Evolution & Lamarckism,718
1099,Germ Plasm Theory,718
1100,Darwin's Theory,718
1101,Summary of Darwin's Theory,718
404,Current & Current Density,693
1103,Drawbacks of Darwin's Theory,718
1104,Hugo De Vries Theory of Evolution,718
1105,Modern Theory of Evolution,718
1081,Gene Regulation: Introduction,637
3077, DIGESTION OF FOOD,708
211,"Group 18 - Preparation, Properties & Uses",665
1071,Solved Problems,637
2813,Power factor,697
1037,Quantitative Analysis of Organic Compounds,656
1036,Conformational Isomers,656
1034,Structural Isomers,656
1032,Acidic & Basic Character ,656
1031,Reaction Intermediates ; Preparation & Properties,656
1039,Isomerism & Chirality,668
264,Classification -  Methods of Polymerization & Copolymerization,673
1051,E.A.N,667
1046,Convection,686
1790,Separation and Isolation of DNA fragments,639
1109,Difference Between Drift & Selection,718
1110,Population Genetics,718
1125,Types of Comunications,705
1113,Concept of Isolation,718
1114,Concept of Speciation,718
1115,Genetic Basis of Adaptation,718
1116,Introduction to Human Evolution,718
1117,Classification of Primates,718
1123,X-Ray (OLD NCERT),702
84,"Classification of System, Extensive & Intensive Properties",650
1124,Introduction,705
13,Addition Reaction of C=C,7464
1126,Modulation,705
2781,Chemiosmotic hypothesis,632
4,Aldehydes & Ketones,7465
296,Relative Motion,678
21,"Moles, Atoms & Electrons",645
23,Limiting Reagent,645
8,conversion chart for n to n carbon,7465
25,Equation Based Problem,645
22,Concentration Based Problem,645
1129,Electromagnetic Spectrum,698
16,Hofmann's Elimination & Saytzeff Elimination,7464
18,SN1 & SN2 Reactions,7464
303,Uniform Circular Motion,679
43,Shell & Subshell,646
3441, WHERE ARE THE ATP AND NADPH USED,632
3044, DYNAMIC STATE OF BODY CONSTITUENTS – CONCEPT OF METABOLISM (OLD NCERT),628
45, Evolution of Periodic Table,647
48,Ionization Energy (IE),647
49,Electronegativity,647
4330,Basic Terms and Definitions,6390
2748,Work done by constant force,680
50,Electron Affinity (EA),647
51,Atomic Size,647
309,Work Done by Variable Force,680
1127,Refraction at Curved Surface,699
52,Screening Effect,647
55,Nature of Compound,647
56,Electronic Configuration,647
2945,Rotational Motion: Dynamics,681
466,Resolving Power of Optical Devices (OLD NCERT),700
85,Cp & Cv ,650
400,Combination of Capacitors,692
69,Introduction to States of Matter,649
2715,Young's modulus,684
2978,Carnot Engine,687
1056,Molar Specific Heat,687
2847,Spring mass system,689
390,Gauss's Law,691
429,Magnetic Materials ,695
396,Dielectrics in Capacitors,692
70,Gas Laws,649
82,First Law of Thermodynamics,650
90,Thermochemistry,650
89,Hess's Law,650
87,Spontaneity & Entropy,650
88,Gibbs Energy Change,650
2879,Displacement Current,698
31,AUFBAU Principle,646
36,Nodal Plane,646
29,Pauli's Exclusion Principle & Hund's Rule,646
41,De Broglie Equation,646
1120,Evolution of Homo Sapiens,718
1111,Hardy Weinberg Law: 1,718
32,Bohr's Theory,646
33,Hydrogen Spectra,646
12,Ascending and Descending Series ,7465
1,Alkyl & Aryl Halides,7465
38,Planck's Theory,646
391,Electric Dipole,691
57,Types of Chemical Bond,648
58,Ionic Bond,648
59,Covalent Bond,648
66,Lattice & Hydration Energy,648
62,Polarity,648
63,Hybridisation,648
67,Resonance & Nature of Compounds,648
35,Heisenberg Uncertainty Principle,646
61,"Acidic, Basic Character & Fajan's Rule",648
3110, Modifications of Stem,625
3143,Long Distance Transport of Water,630
1121,Reflection at Plane Surface,699
3176,oogenesis,716
1043,Urea & Nitro Compound,671
3473,THE RESPIRATORY BALANCE SHEET,633
3506,Co-dominance,636
301,Friction,679
310,Work Energy Theorem,680
4505,Animal Husbandry - Poultry farming,6442
2749,Collisions,680
2716,Potential energy of wire,684
401,Energy stored in Capacitor,692
39,Electromagnetic Radiation,646
1042,"Acid Derivatives - Preparation, Properties & Uses",670
712,Growth Model,634
2780,RC Circuit (OLD NCERT),693
3242, FLOWER – A FASCINATING ORGAN OF ANGIOSPERMS,635
291,Speed & Velocity,678
17,Directive Effect of functional grp,7464
19,Reagents,7464
3275,Mutations and Genetic Code,637
125,"Carbon Family - Preparations, Properties & Uses",655
64,"Octate, Isoelectronic Species, Lewis Structure & Formal Charge",648
173,Elevation of Boiling Point,660
122,"Boron Family- Preparations, Properties & Uses",655
27,Introduction of Atomic Structure,646
72,Dalton's Law,649
174,Depression of Freezing Point,660
182,Nernst Equation,661
187,Conductance & Conductivity,661
189, Kohlrausch Law & Cell Constant,661
190,Faraday’s Law of Electrolysis,661
195,Corrosion,661
196,Hydrogen Economy,661
199,Arrhenius Equation,662
198,First Order Reaction Kinetics,662
197,"Definition, Rate Constant, Rate Law",662
81,2nd & 3rd Law of Thermodynamics ,650
124,"Compounds of Boron- Preparations, Properties & Uses",655
127,"Compounds of Carbon, Preparations, Properties & Uses",655
392,Electric Potential Energy,692
393,Electric Potential ,692
110,Preparation & Properties,653
3507,SUMMARY,636
159,Water Pollution - Water Pollution & Portable Water,658
111,Type of Hydride,653
112,Water,653
140,"Aliphatic Hydrocarbon -Nomenclature, Isomerism & Mechanism",657
113,Hard & Soft Water,653
114,H2O2 (Hydrogen Peroxide),653
116,Chemical Properties,654
119,Reasoning Questions,654
68,V.S.E.P.R & V.B.T,648
14,"Addition Reaction of C=N, C=0",7464
3341, DISORDERS OF CIRCULATORY SYSTEM,710
3374,Calorific value,708
123,Anomalous Behaviour of B & C,655
15,Reaction Intermediates,7464
3407,Respiratory Organs,709
20,Reactions in Ether & Alcohol,7464
3539,Kingdom: Plantae,623
126, Structure & Properties  of Allotropes of C ,655
3572,Kingdom Fungi: Phycomycetes,623
3770,Deforestation,644
3671,Animal Kingdom,623
3605,Earthworm,707
138,Qualitative Analysis of Organic Compounds ,656
128,Properties of Structure of SiO2 & Other Compounds,655
137,Purification of Organic Compounds,656
146,Aromatic Hydrocarbons - Huckel Rule of Aromaticity,657
101,Titration & Indicators,651
9,Aliphatic & Aromatic Aldehyde& Ketone,7465
129,Properties of Glass & Other Compounds,655
132,Aromaticity & Polarity,656
134,Bond Cleavage & Isomerism,656
135,Nucleophile & Electrophile,656
136,Electron Displacement Effects,656
150,Air Pollution - Greenhouse Effect,658
151,Air Pollution - Global Warming,658
152,Air Pollution - Acid Rain,658
153,Air Pollution - Smog,658
154,Introduction,658
155,Air Pollution - Ozone,658
156,Water Pollution - Causes,658
157,Water Pollution - Biological Oxygen Demand,658
158,Water Pollution - Eutrophication,658
160,Soil Pollution & Waste Management,658
162,Green Chemistry,658
269,Dimensions ,675
270,Errors,675
791,Axial Skeleton: I,712
275,Differentiation,676
276,Integration,676
279,Resolution of Vectors,676
278,Resultant of Vectors,676
271,Significant Figures,675
272,Measurement & Measuring Devices,675
3638,The Pressure Flow or Mass Flow Hypothesis,630
280,Scalar Product,676
281,Vector Product,676
274,Geometry,676
3606,Frogs,707
792,Axial Skeleton: II,712
3771,Abiotic Factors: soil,641
3705,Frogs: Anatomy (Digestive System),707
277,Trigonometry,676
282,Distance & Displacement,677
389,Electric Field,691
287,Uniformly Accelerated Motion,677
86,3rd law of Thermodynamics,650
46,Mendeleev's Periodic Table,647
144,Aromatic Hydrocarbons -  physical property,657
192,Active & Inert Electrodes,661
1592,Introduction,672
814,Human Eye  (OLD NCERT),713
3046,THE LIVING STATE (OLD NCERT),628
40,"Number of Electron, Proton & Neutron",646
292,Acceleration,678
163,Introduction & Crystal System,659
170,Azeotrope,660
176,Van’t Hoff Factor,660
179,Electrode & Electrode Potential ,661
3803,Families of Flowering Plants: Solanaceae,625
201,Catalyst,662
1265,Types of Wood (OLD NCERT),626
202,Adsorption and Absorption,663
203,Adsorption Isotherm,663
204,Colloidal Solution,663
205,Emulsions,663
3276, Biodiversity Conservation,643
200,"Order, Molecularity and Mechanism",662
288,Non Uniform Acceleration,677
109,Hydrogen- Types & Isotopes,653
130,"Properties of Glass, Pb & Sn compounds",655
242,Chemical Properties,668
3209,Diversity in the Living World,622
3737,Ecosystem Services,642
245,"Iodoform, Freons & DDT",668
221,d-Block Elements- Properties & Uses,666
222,f-Block Elements- Properties & Uses,666
3836,Uptake and Transport of Mineral Nutrients,630
226,Chemistry of Mn and Cr Compounds,666
811,Autonomic Nervous System: 2 (OLD NCERT),713
206,"Intro - Flux, Leaching, Roasting & Calcination",664
207,Ellingham Diagram,664
209,Refining  Process,664
1823,Disorders of Digestive System,708
208,Metallurgy of individual elements,664
286,Graphs,677
251,Aldehydes & Ketones: Preparation & Properties ,670
253,Carboxylic Acids: Preparation & Properties,670
252,Isomers & Reaction Mechanism ,670
289,Relative Motion in One Dimension,677
259,Polysaccharides & their Importance,672
283,Average Speed & Average Velocity,677
285,Acceleration,677
293,Uniformly Accelerated Motion,678
183,"Relation between Emf, G, Kc & pH",661
3869,Fore Brain,713
224,Lanthanoid & Actinoids Contraction,666
243,Haloarenes: Directive Influence of Halogen,668
810,Autonomic Nervous System: 1 (OLD NCERT),713
4331,Interesecting Lines and Non-interesecting Lines,6390
4332,Pairs of Angles,6390
4333,Lines Parallel to the Same Line,6390
246,Alcohols: Preparation & Properties,669
247,"Mechanism of Dehydration, Methanol & Ethanol",669
249,"Electrophilic Substitution Reactions, Uses of Phenols",669
250,"Ethers: Preparation & Properties, Uses",669
248,Phenols: Preparation & Properties,669
266,Classification of Medicines,674
315,Center of Mass,681
318,Moment of Inertia,681
322,Newton's Law of Gravitation,682
4334,Introduction,5318
316,Linear Momentum,681
328,Escape velocity,682
297,Types of Forces,679
329,Orbital velocity,682
332,Stress - Strain,684
333,Hooke's Law,684
131,Hybridisation & Structure of Carbon Compounds,656
339,Equation of Continuity,685
341,Bernoulli's Theorem,685
336,Pressure,685
348,Thermal Expansion,686
337,Properties of Fluids,685
340,Types of Flows,685
343,Stokes' Law,685
342,Viscosity,685
299,Application of Laws,679
347,Temperature and Heat,686
351,Radiation,686
354,Newton's Law of Cooling,686
352,Stefan-Boltzmann Law,686
357,Types of Processes,687
360,Cyclic Process,687
358,Work Done by a Gas,687
367,Law of Equipartition of Energy,688
369,Specific Heat ,688
326,Gravitational Potential,682
373,Energy of SHM,689
368,Mean Free Path,688
364,Kinetic Energy of an Ideal Gas,688
374,Angular SHM,689
4335,Congruence of Triangles,5318
370,Types of Motion,689
371,Simple Harmonic Motion,689
300,String Constraint,679
387,Electric Charge,691
302,Pseudo Force,679
395,Equipotential Surfaces,692
378,Wave Motion,690
379,Types of Waves,690
381,Energy of Waves,690
376,Damped Oscillations (OLD NCERT),689
377,Forced Oscillations (OLD NCERT),689
384,Doppler's Effect (OLD NCERT),690
334,Stress - Strain Curve,684
4336,Criteria for Congruence of Triangles,5318
4337,Some Properties of a Triangle,5318
330,Satellite,682
235,Organometallic Complexes & their Uses,667
372,Phasor Diagram,689
380,Travelling Wave on String,690
308,Concept of Work,680
307,Variable Mass System,679
304,Banking of Roads,679
320,Angular Momentum,681
319,Torque,681
325,Acceleration due to Gravity,682
323,Kepler's Laws,682
335,Poisson's Ratio,684
331,Elasticity,684
363,Ideal Gas Equation,688
344,Surface Tension ,685
345,Capillary Rise,685
359,First Law of Thermodynamics,687
349,Thermal Stress,686
346,Calorimetry,686
350,Conduction,686
366,Types of Velocities,688
375,Combination of Springs,689
